,Name,Image_Title,Ingredients
0,Massaman Vegetable Curry With Tofu,img26709.jpg,"2 tablespoons coconut oil or organic canola oil¼ teaspoon turmeric1 tablespoon cumin seeds1 large onion, sliced5 garlic cloves, minced2-inch knob ginger, peeled and grated/minced½ teaspoon ground cinnamon½ teaspoon ground cardamom¼ teaspoon ground cloves¼-1/2 teaspoon cayenne pepper¾ teaspoon sea salt, plus more to taste1 cup peeled and sliced carrots2 cups ½-inch cubed peeled potatoes (from about 2 medium potatoes)1 (13.5-ounce) can coconut milk1 cup water1 red bell pepper, seeded and sliced⅓ cup peanut butter2 tablespoons natural cane sugar1 (14-ounce) package extra-firm tofu (drained, pressed and baked- see note*)"
1,Chocolate Thumbprints,img10673.jpg,"10 tablespoons (1¼ sticks) unsalted butter, divided½ cup confectioners' sugar¼ teaspoon salt1 teaspoon vanilla extract1¼ cups all-purpose flour2 ounces semisweet chocolate, finely chopped¾ teaspoon corn syrup"
2,Bandito Baked Beans,img21737.jpg,"1 tablespoon vegetable oil1 medium onion, chopped1 cup Pace® Picante Sauce1/4 cup molasses1 tablespoon spicy brown mustard1 (15 ounce) can pork and beans1 (15 ounce) can black beans, rinsed and drained"
3,Smoked Trout Salad,img25252.jpg,"1 pound smoked trout, skin removed2 tablespoons chopped fresh chives1 shallot, diced (about 3 tablespoons)1/3 cup mayonnaise2 teaspoons fresh lemon juiceSalt, to tasteFreshly ground pepper, to taste"
4,New England Molasses Gingerbread Cookies,img12343.jpg,"6 cups (about) all purpose flour1 tablespoon ground cinnamon2 teaspoons ground ginger1 1/2 teaspoons ground cloves3/4 teaspoon salt11 tablespoons (1 stick plus 3 tablespoons) unsalted butter, room temperature2/3 cup solid vegetable shortening1 cup sugar1 cup mild-flavored (light) molasses1 1/2 teaspoons grated lemon peel1 large egg1/4 cup buttermilk2 teaspoons water1 teaspoon baking soda3 cups powdered sugar1 1/2 tablespoons fresh lemon juice1 1/2 teaspoons light corn syrupwaterfood coloring (optional)decorations (such as colored sugar crystals)"
5,Rhubarb Crisp,img23111.jpg,"2 1/2 cups quick cooking oats2 1/2 cups brown sugar3 cups all-purpose flour1/3 cup butter, melted9 cups chopped rhubarb3 teaspoons ground cinnamon2 cups water2 cups white sugar1/4 cup cornstarch2 teaspoons vanilla extract"
6,Prosciutto and Smoked Gouda Panini,img03784.jpg,"20 (1-ounce) slices Italian breadCooking spray6 ounces smoked Gouda cheese, thinly sliced6 ounces thinly sliced prosciutto"
7,Manicotti Alla Romana,img10892.jpg,"2 tablespoons olive oil1/2 cup chopped onion6 cloves garlic, finely chopped1 pound ground beefsalt to taste1 (10 ounce) package frozen chopped spinach, thawed and drained1 (12 ounce) package manicotti shells2 cups ricotta cheese2 eggs, beaten3 cups spaghetti sauce, divided2 tablespoons butter2 tablespoons all-purpose flour2 tablespoons chicken bouillon granules2 cups half-and-half1/4 cup chopped fresh parsley1 tablespoon chopped fresh basil1/2 cup grated Parmesan cheese"
8,Churros,img15516.jpg,"1/2 cup (1 stick)  unsalted butter2 tablespoons granulated sugar1/4 teaspoon coarse salt1 cup all-purpose flour3 large eggsVegetable oil, for fryingConfectioners' sugar, for dustingChocolate Dipping Sauce for Churros Chocolate Dipping Sauce for Churros, optional"
9,Mashed Potatoes,img15029.jpg,"4 pounds Yukon gold potatoes, peeled and cut into 2-inch-thick slicesCoarse salt1 cup whole milk, or heavy cream, or a combination1/2 cup (1 stick) unsalted butter, softenedFreshly ground pepper"
10,Bella Cucina Sun-dried Tomato & Herb Polpette Meatballs with Sugo Pasta Sauce,img03633.jpg,"1/4 pound Freshly ground veal1/4 pound Freshly ground sirloin or chuck1/4 cup finely ground breadcrumbs1/2 cup sun-dried tomato pesto1 whole egg1 teaspoon each: freshly chopped Italian parsley, sage and basil1-1.5 cups Bella Cucina Farmhouse Sugo or your favorite Pasta Sauce1 pound Gnocchi or dried pasta, or 1 cup fregola, cooked according to directions. My favorite pastas: Pennoni rigate, orecchiete, spaghettini1 pound Gnocchi or dried pasta, or 1 cup fregola, cooked according to directions. My favorite pastas: Pennoni rigate, orecchiete, spaghettini1 pound Gnocchi or dried pasta, or 1 cup fregola, cooked according to directions. My favorite pastas: Pennoni rigate, orecchiete, spaghettini1 pound Gnocchi or dried pasta, or 1 cup fregola, cooked according to directions. My favorite pastas: Pennoni rigate, orecchiete, spaghettini1 pound Gnocchi or dried pasta, or 1 cup fregola, cooked according to directions. My favorite pastas: Pennoni rigate, orecchiete, spaghettiniFresh basil, toasted pine nuts and Parmasean cheese for garnishFresh basil, toasted pine nuts and Parmasean cheese for garnishFresh basil, toasted pine nuts and Parmasean cheese for garnish"
